release_date,date,value
2009-05-28,1990-03-03,351000.0
2009-05-28,1990-03-10,349000.0
2009-05-28,1990-03-17,349000.0
2009-05-28,1990-03-24,331000.0
2009-05-28,1991-03-02,488000.0
2009-05-28,1991-03-09,499000.0
2009-05-28,1991-03-16,498000.0
2009-05-28,1991-03-23,509000.0
2009-05-28,1993-03-06,354000.0
2009-05-28,1993-03-13,346000.0
2009-05-28,1993-03-20,338000.0
2009-05-28,1993-03-27,366000.0
2009-05-28,1994-03-05,348000.0
2009-05-28,1994-03-12,341000.0
2009-05-28,1994-03-19,332000.0
2009-05-28,1994-03-26,322000.0
2009-05-28,1995-03-04,339000.0
2009-05-28,1995-03-11,347000.0
2009-05-28,1995-03-18,343000.0
2009-05-28,1995-03-25,332000.0
2009-05-28,1997-03-01,321000.0
2009-05-28,1997-03-08,317000.0
2009-05-28,1997-03-15,319000.0
2009-05-28,1997-03-22,315000.0
2009-05-28,1998-03-07,308000.0
2009-05-28,1998-03-14,319000.0
2009-05-28,1998-03-21,321000.0
2009-05-28,1998-03-28,312000.0
2009-05-28,1999-03-06,300000.0
2009-05-28,1999-03-13,308000.0
2009-05-28,1999-03-20,305000.0
2009-05-28,1999-03-27,298000.0
2009-05-28,2001-03-03,384000.0
2009-05-28,2001-03-10,393000.0
2009-05-28,2001-03-17,393000.0
2009-05-28,2001-03-24,378000.0
2009-05-28,2002-03-02,392000.0
2009-05-28,2002-03-09,399000.0
2009-05-28,2002-03-16,392000.0
2009-05-28,2002-03-23,415000.0
2009-05-28,2003-03-01,436000.0
2009-05-28,2003-03-08,424000.0
2009-05-28,2003-03-15,430000.0
2009-05-28,2003-03-22,411000.0
2009-05-28,2005-03-05,335000.0
2009-05-28,2005-03-12,325000.0
2009-05-28,2005-03-19,331000.0
2009-05-28,2005-03-26,343000.0
2009-05-28,2006-03-04,303000.0
2009-05-28,2006-03-11,308000.0
2009-05-28,2006-03-18,304000.0
2009-05-28,2006-03-25,296000.0
2009-05-28,2007-03-03,321000.0
2009-05-28,2007-03-10,308000.0
2009-05-28,2007-03-17,308000.0
2009-05-28,2007-03-24,303000.0
2009-05-28,2009-03-07,657000.0
2009-05-28,2009-03-14,644000.0
2009-05-28,2009-03-21,657000.0
2009-05-28,2009-03-28,674000.0
2010-03-11,2010-03-06,462000.0
2010-03-18,2010-03-13,457000.0
2010-03-25,2010-03-20,442000.0
2010-04-01,2010-03-27,439000.0
2011-03-10,2011-03-05,397000.0
2011-03-17,2011-03-12,385000.0
2011-03-24,2011-03-19,382000.0
2011-03-31,2011-03-26,388000.0
2013-03-07,2013-03-02,340000.0
2013-03-14,2013-03-09,332000.0
2013-03-21,2013-03-16,336000.0
2013-03-28,2013-03-23,357000.0
2014-03-06,2014-03-01,323000.0
2014-03-13,2014-03-08,315000.0
2014-03-20,2014-03-15,320000.0
2014-03-27,2014-03-22,311000.0
2015-03-12,2015-03-07,289000.0
2015-03-19,2015-03-14,291000.0
2015-03-26,2015-03-21,282000.0
2015-04-02,2015-03-28,268000.0
2017-03-09,2017-03-04,243000.0
2017-03-16,2017-03-11,241000.0
2017-03-23,2017-03-18,258000.0
2017-03-30,2017-03-25,258000.0
2018-03-08,2018-03-03,231000.0
2018-03-15,2018-03-10,226000.0
2018-03-29,2018-03-17,227000.0
2018-03-29,2018-03-24,215000.0
2019-03-07,2019-03-02,223000.0
2019-03-14,2019-03-09,229000.0
2019-03-21,2019-03-16,221000.0
2019-03-28,2019-03-23,211000.0
2021-03-11,2021-03-06,712000.0
2021-03-18,2021-03-13,770000.0
2021-03-25,2021-03-20,684000.0
2021-04-01,2021-03-27,719000.0
2022-03-10,2022-03-05,227000.0
2022-03-17,2022-03-12,214000.0
2022-03-24,2022-03-19,187000.0
2022-03-31,2022-03-26,202000.0
2023-03-09,2023-03-04,211000.0
2023-03-16,2023-03-11,192000.0
2023-03-23,2023-03-18,191000.0
2023-03-30,2023-03-25,198000.0
2025-03-06,2025-03-01,221000.0
2025-03-13,2025-03-08,220000.0
2025-03-20,2025-03-15,223000.0
2025-03-27,2025-03-22,224000.0
