Method,ret_XLE,ret_XLF
AR(1) benchmark,0.00028606988399250286,0.000144154283696105
Fwd (Cp),0.00028534082139623264,0.000144154283696105
Fwd (CV),0.0002834549368071918,0.000144154283696105
Bwd (Cp),0.00028534082139623264,0.000144154283696105
Bwd (CV),0.0002834549368071918,0.000144154283696105
Best Sub (Cp),0.00028541326396822167,0.000144154283696105
Ridge,0.0002834549366145722,0.00014324188177723327
Lasso,0.0002834549368071918,0.00014129616144606613
PCR,0.00028333235276191226,0.00014517100407026212
PLS,0.0002842266537355036,0.000144946468108206
